2026-04-12 22:58:57,661 - INFO - Starting companies info quering
2026-04-12 22:58:57,662 - INFO - Loading input file: data/tickers.csv
2026-04-12 22:58:57,683 - INFO - Total rows in input CSV: 14824
2026-04-13 07:03:24,862 - ERROR - Unexpected error for AMV0: If using all scalar values, you must pass an index
2026-04-13 07:03:39,160 - ERROR - Unexpected error for AOSL: If using all scalar values, you must pass an index
2026-04-13 07:03:57,849 - ERROR - Unexpected error for ARCC: If using all scalar values, you must pass an index
2026-04-13 07:03:59,447 - ERROR - Unexpected error for ARDT: If using all scalar values, you must pass an index
2026-04-13 07:04:48,203 - ERROR - Unexpected error for AVARDA: If using all scalar values, you must pass an index
2026-04-13 07:05:02,868 - ERROR - Unexpected error for AXPH: If using all scalar values, you must pass an index
2026-04-13 07:05:10,969 - ERROR - Unexpected error for B: If using all scalar values, you must pass an index
2026-04-13 07:06:10,660 - ERROR - Unexpected error for BIAT: If using all scalar values, you must pass an index
2026-04-13 07:06:59,234 - ERROR - Unexpected error for BPG: If using all scalar values, you must pass an index
2026-04-13 07:07:05,874 - ERROR - Unexpected error for BREB: If using all scalar values, you must pass an index
2026-04-13 07:07:06,343 - ERROR - Unexpected error for BRES: If using all scalar values, you must pass an index
2026-04-13 07:07:11,952 - ERROR - Unexpected error for BRPT: If using all scalar values, you must pass an index
2026-04-13 07:07:12,420 - ERROR - Unexpected error for BRSAN.E: If using all scalar values, you must pass an index
2026-04-13 07:07:18,226 - ERROR - Unexpected error for BSKP: If using all scalar values, you must pass an index
2026-04-13 07:07:33,767 - ERROR - Unexpected error for BWE: If using all scalar values, you must pass an index
2026-04-13 07:07:33,962 - ERROR - Unexpected error for BWG: If using all scalar values, you must pass an index
2026-04-13 07:07:34,761 - ERROR - Unexpected error for BWMX: If using all scalar values, you must pass an index
2026-04-13 07:07:41,652 - ERROR - Unexpected error for C: If using all scalar values, you must pass an index
2026-04-13 07:07:48,731 - ERROR - Unexpected error for CADLR: If using all scalar values, you must pass an index
2026-04-13 07:07:56,059 - ERROR - Unexpected error for CANPY: If using all scalar values, you must pass an index
2026-04-13 07:08:00,949 - ERROR - Unexpected error for CASAGRC1: If using all scalar values, you must pass an index
2026-04-13 07:08:16,718 - ERROR - Unexpected error for CCL.B: If using all scalar values, you must pass an index
2026-04-13 07:08:17,219 - ERROR - Unexpected error for CCN: If using all scalar values, you must pass an index
2026-04-13 07:08:23,524 - ERROR - Unexpected error for CDMO: If using all scalar values, you must pass an index
2026-04-13 07:08:29,999 - ERROR - Unexpected error for CELC: If using all scalar values, you must pass an index
2026-04-13 07:08:34,238 - ERROR - Unexpected error for CERA: If using all scalar values, you must pass an index
2026-04-13 07:08:41,626 - ERROR - Unexpected error for CFT: If using all scalar values, you must pass an index
2026-04-13 07:08:59,434 - ERROR - Unexpected error for CICH: If using all scalar values, you must pass an index
2026-04-13 07:08:59,896 - ERROR - Unexpected error for CIEB: If using all scalar values, you must pass an index
2026-04-13 07:09:03,599 - ERROR - Unexpected error for CIRA: If using all scalar values, you must pass an index
