A.P. Moller-Maersk A/S
Ibnsina Pharma
Indiabulls Ltd.
Infraestruturas de Portugal SA
Intercorp Financial Services, Inc.
Intersect ENT, Inc.
Ithaca Petroleum Ltd.
Jacana Minerals Ltd.
Jarir Marketing Co.
Jet Contractors SA
Jilin Aodong Pharmaceutical Group Co., Ltd.
Jordan Telecommunications Ltd.
Juhayna Food Industries
Jungheinrich AG
Jyske Bank A/S
KSB SE & Co. KGaA
Kadmon Holdings, Inc.
Kasen International Holdings Limited
Kelly Services, Inc.
KinderCare Learning Companies, Inc.
Label'Vie SA
Land Securities Capital Markets Plc
Land'Or SA
Lanzhou Foci Pharmaceutical Co., Ltd.
Les Eaux Minerales d'Oulmes SA
Lesieur Cristal SA
Lier Chemical Co., Ltd.
Lloyds Bank Plc
Luxchem Corporation Berhad
Luxembourg Treasury Securities SA
Luz del Sur SA
Lydec SA
M.M. Group for Industry & International Trade SAE
MG Unit Trust
MIV Global Medtech Fund
Macro Group Pharmaceutical SAE
Madinet Masr for Housing & Development
Managem SA
Mannai Corp. QPSC
ManpowerGroup Greater China Ltd.
Maridive & Oil Services SAE
Maroc Telecom SA
Marsa Maroc
Marumae Co., Ltd.
Masan Consumer Corp.
Matas A/S
McCormick & Company, Incorporated
Medicare Group QSC
Mega Lifesciences Public Company Limited
Melewar Industrial Group Bhd.
Mesaieed Petrochemical Holding Co. QSC
Metsera, Inc.
Microdata SA
Minapharm Pharmaceuticals
Minmetals Development Co., Ltd.
Mirae Asset Securities Co., Ltd. /Old/
Misr Cement Co. (Qena)
Misr Chemical Industries Ltd.
Molibdenos y Metales SA
NH Investment & Securities Co., Ltd. /Old/
NHN BUGS Corp.
NKT A/S
NNIT A/S
NTG Nordic Transport Group A/S
Nanjing Pharmaceutical Co., Ltd.
Nationale-Nederlanden Bank NV
Nationwide Building Society
Navios Maritime Partners L.P.
Navitas Semiconductor Corporation
Netcompany Group A/S
Nextensa NV
Ngern Tid Lor Public Co., Ltd.
Nile Cotton Ginning
Nilfisk Holding A/S
Ningxia Qinglong Pipes Industry Group Co., Ltd.
Nishimoto Co., Ltd. /Chuo-Ku/
Nitro Software Ltd.
Nobina AB
Nordea Bank Finland Abp
Northern Rock (Asset Management) Ltd.
Norva24 Group AB
Notable Labs Ltd.
Noventiq Holdings Plc
Novo Nordisk A/S
Novonesis A/S
Obour Land for Food Industries
Oman Cables Industry SAOG
OncoTherapy Science, Inc.
One Tech Holding SA
Orascom Development Egypt SAE
Organogenesis Holdings Inc.
Oriental Weavers Group
Orsted A/S
Orygen Peru SAA
Ostasiatiske Kompagni A/S
PACS Group, Inc.
PAION AG
PARKEN Sport & Entertainment A/S
PT Barito Pacific Tbk
PZ Cormay SA
Pace Development Corp. Public Co., Ltd.
Pacific Online Systems Corp.
Paints & Chemical Industries Co.
Palabora Mining Co.
Palm Hills Development Co.
Per Aarsleff Holding A/S
Pioneers Properties for Urban Development
Pirelli International Plc
Poly Union Chemical Holding Group Co., Ltd.
Porsche AG
Porsche Automobil Holding SE
ProMOS Technologies, Inc.
Qatar Aluminium Manufacturing QPSC
Qatar Fuel-Woqod QSC
Qatar Industrial Manufacturing Co.
Qatar International Islamic Bank
Qatar Islamic Bank
Qatar National Cement Co.
Qatari Investors Group
Quad/Graphics, Inc.
Qudian, Inc.
Qurain Petrochemical Industries Co. KSC
R&S Group Holding AG
REV Group, Inc.
ROCKWOOL A/S
Raspberry Pi Holdings Plc
Raya Contact Center
Raya Holding for Financial Investments SAE
Remco Tourism Villages Construction S.A.E.
Reneuco Bhd.
Residences Dar Saada SA
Ringkjobing Landbobank A/S
Risma
Roctec Global Public Company Limited
Rosseti Lenenergo PJSC
Royal Unibrew A/S
SCI Electric Public Co. Ltd.
SK Holdings Co., Ltd. /Old/
Saga Falabella SA
Sagami Rubber Industries Co., Ltd.
Sahara International Petrochemical Co.
Salafin SA
Santander Financial Services Plc
Santander UK Plc
Sappe Public Company Limited
Scandinavian Private Equity A/S
Schouw & Co A/S
Scotiabank Peru SA
Scotland Gas Networks Plc
Securitized Asset Backed Receivables LLC Trust 2007-BR2
Semler Scientific, Inc.
Seven-Up Bottling Co. Plc
Sfil SA
Shandong Minhe Animal Husbandry Co., Ltd.
Sharps Compliance Corp.
Shenyang Chemical Industry Co., Ltd.
Shenzhen Zowee Tech Co., Ltd.
Sidi Kerir Petrochemicals
Silver Bay Realty Trust Corp.
SimCorp A/S
Six of October Development & Investment (SODIC)
Societe Tunisienne d'Assurances & de Reassurances
Societe d'Equipement Domestique et Menager SA
Societe des Boissons du Maroc SA
Solar A/S
Sothema
Sotipapier SA
South Valley Cement Co.
Spar Nord Bank A/S
SpyroSoft SA
Strategic Investments A/S
Studio City International Holdings Limited
Suez Cement Co.
Svitzer Group A/S
Syndax Pharmaceuticals, Inc.
TCP International Holdings Ltd.
TDC Holding A/S
TF Bank AB
TOKAI Corp. /9729/
Taaleem Management Services SAE
Talaat Moustafa Group Holding
Talanx Finanz (Luxemburg) SA
TechTarget, Inc.
Tenth of Ramadan Pharmaceutical Industries & Diagnostic-Rameda
Tera Yatirim Menkul Degerler AS
Terega SAS
Thames Water Utilities Finance Plc
The Arab Ceramic Co. - Ceramica Remas
The Drilling Company of 1972 A/S
The Kenya Power & Lighting Co. Plc
Tilaknagar Industries Ltd.
Time Interconnect Technology Limited
Titan America SA
Topdanmark A/S
Torex Semiconductor Ltd.
TotalEnergies Marketing Maroc SA
Triple-S Management Corporation
Tryg A/S
U Consumer Finance SAE
UBS AG /Old/
Unbound group PLC
United Development Co.
United Housing & Development
Upper Egypt Flour Mills Co.
Valartis Group AG
Venture Global, Inc.
Veris Limited
Vestas Wind Systems A/S
Viacom Inc.
Victory Giant Technology (HuiZhou) Co., Ltd.
Vietnam Engine & Agricultural Machinery Corp.
Viettel Post JSC
Vimian Group AB
Von Roll Holding AG
WHA Industrial Development Public Co., Ltd.
Wafa Assurance SA
Wanbangde Pharmaceutical Holding Group Co., Ltd.
Welspun Enterprises Ltd. /Old/
Wrkr Ltd.
Wuhan Guide Infrared Co., Ltd.
Xiamen Intretech, Inc.
Xining Special Steel Co., Ltd.
Xinjiang Ba Yi Iron & Steel Co., Ltd.
Xvivo Perfusion AB
Yifan Pharmaceutical Co., Ltd.
Yorkshire Water Services Bradford Finance Ltd.
ZYF Lopsking Material Technology Co., Ltd.
Zealand Pharma A/S
Zhaopin Ltd.
Zhejiang Hangmin Co., Ltd.
Zhengzhou Coal Mining Machinery Group Company Limited
Zhou Liu Fu Jewellery Co., Ltd.
ageas SA/NV
e-Finance for Digital & Financial Investments SAE
home24 SE
